,Gender,City,JobTitle,DepartmentName,StoreLocation,Division,Age,LengthService,AbsentHours,BusinessUnit
0,F,Burnaby,Baker,Bakery,Burnaby,Stores,32.02881569,6-10,36.57730606,Stores
1,M,Courtenay,Baker,Bakery,Nanaimo,Stores,40.32090167,6-10,30.16507231,Stores
2,M,Richmond,Baker,Bakery,Richmond,Stores,48.82204661,2-5,83.80779766,Stores
3,F,Victoria,Baker,Bakery,Victoria,Stores,44.59935722,2-5,70.02016505,Stores
4,M,New Westminster,Baker,Bakery,New Westminster,Stores,35.69787561,2-5,0.0,Stores
5,M,Richmond,Baker,Bakery,Richmond,Stores,48.44031059,2-5,81.83007916,Stores
6,M,Vancouver,Clerk,Accounting,Vancouver,FinanceAndAccounting,50.75273,6-10,60.49507152,HeadOffice
7,M,Sechelt,Baker,Bakery,West Vancouver,Stores,36.2160312,2-5,30.07290192,Stores
8,M,New Westminster,Baker,Bakery,New Westminster,Stores,58.42738025,6-10,181.630819,Stores
9,M,Vancouver,Clerk,Accounting,Vancouver,FinanceAndAccounting,39.85398,11-20,30.66440832,HeadOffice
10,M,New Westminster,Baker,Bakery,New Westminster,Stores,46.54758052,2-5,28.01835332,Stores
12,M,North Vancouver,Baker,Bakery,North Vancouver,Stores,37.72801116,2-5,0.0,Stores
13,F,Vananda,Baker,Bakery,Nanaimo,Stores,30.78519091,2-5,34.33444296,Stores
14,M,Vancouver,Clerk,Accounting,Vancouver,FinanceAndAccounting,49.92338,2-5,0.0,HeadOffice
15,M,Vancouver,Clerk,Accounting,Vancouver,FinanceAndAccounting,42.79789,11-20,21.65982312,HeadOffice
16,F,Vancouver,Clerk,Accounting,Vancouver,FinanceAndAccounting,48.6213,6-10,0.0,HeadOffice
17,F,West Vancouver,Baker,Bakery,West Vancouver,Stores,41.85581217,2-5,55.09983109,Stores
18,F,New Westminster,Baker,Bakery,New Westminster,Stores,51.00873723,2-5,81.59554037,Stores
19,F,Vancouver,Clerk,Accounting,Vancouver,FinanceAndAccounting,36.91041,11-20,94.66856131,HeadOffice
20,M,Burnaby,Baker,Bakery,Burnaby,Stores,57.90324297,2-5,108.3801763,Stores
21,F,New Westminster,Baker,Bakery,New Westminster,Stores,24.47030259,2-5,0.0,Stores
22,F,Vancouver,Clerk,Accounting,Vancouver,FinanceAndAccounting,49.51672,6-10,67.74078948,HeadOffice
23,F,Victoria,Baker,Bakery,Victoria,Stores,60.5955091,2-5,158.7045089,Stores
24,M,Nanaimo,Baker,Bakery,Nanaimo,Stores,35.80466401,2-5,0.0,Stores
25,F,Aldergrove,Baker,Bakery,Aldergrove,Stores,35.87338778,2-5,48.0170507,Stores
26,M,Kelowna,Baker,Bakery,Kelowna,Stores,41.93560641,2-5,42.78802656,Stores
27,M,Trail,Baker,Bakery,Trail,Stores,35.49790596,2-5,34.52427221,Stores
28,M,Vancouver,Clerk,Accounting,Vancouver,FinanceAndAccounting,40.02887,11-20,59.88316464,HeadOffice
29,M,Aldergrove,Baker,Bakery,Aldergrove,Stores,49.75658466,2-5,100.6740987,Stores
30,M,Penticton,Baker,Bakery,Kelowna,Stores,38.11173232,2-5,9.522523814,Stores
31,F,Vancouver,Clerk,Accounting,Vancouver,FinanceAndAccounting,42.8715,11-20,38.88332344,HeadOffice
32,M,Duncan,Baker,Bakery,Quesnel,Stores,49.94274462,6-10,129.8357633,Stores
34,F,Crawford Bay,Baker,Bakery,Cranbrook,Stores,23.74733283,2-5,0.0,Stores
35,M,Vancouver,Clerk,Accounting,Vancouver,FinanceAndAccounting,36.196064,11-20,0.0,HeadOffice
36,F,Courtenay,Baker,Bakery,Nanaimo,Stores,51.56495808,2-5,75.25704812,Stores
37,F,Port Hardy,Baker,Bakery,Nanaimo,Stores,40.41201341,6-10,58.97153025,Stores
38,M,Kelowna,Baker,Bakery,Kelowna,Stores,52.44651862,2-5,134.6683839,Stores
39,M,Logan Lake,Baker,Bakery,Kamloops,Stores,20.02556154,2-5,0.0,Stores
